Datetime,Load_Forecast
24:00,0.1712
24:15,0.2364
24:30,0.2886
24:45,0.3316
25:00,0.3649
25:15,0.39
25:30,0.4063
25:45,0.4132
26:00,0.4131
26:15,0.4089
26:30,0.4032
26:45,0.3975
27:00,0.3925
27:15,0.3885
27:30,0.3853
27:45,0.3829
28:00,0.3812
28:15,0.3798
28:30,0.3789
28:45,0.3782
29:00,0.3776
29:15,0.3773
29:30,0.377
29:45,0.3767
30:00,0.3766
30:15,0.3765
30:30,0.3764
30:45,0.3763
31:00,0.3763
31:15,0.3762
31:30,0.3762
31:45,0.3762
32:00,0.3762
32:15,0.3761
32:30,0.3761
32:45,0.3761
33:00,0.3761
33:15,0.3761
33:30,0.3761
33:45,0.3761
34:00,0.3761
34:15,0.3761
34:30,0.3761
34:45,0.3761
35:00,0.3761
35:15,0.3761
35:30,0.3761
35:45,0.3761
