Datetime,PV_Forecast
24:00,0.2688
24:15,0.2746
24:30,0.2839
24:45,0.2945
25:00,0.3053
25:15,0.3154
25:30,0.3247
25:45,0.3331
26:00,0.3404
26:15,0.3468
26:30,0.3524
26:45,0.3573
27:00,0.3615
27:15,0.3651
27:30,0.3683
27:45,0.371
28:00,0.3734
28:15,0.3754
28:30,0.3772
28:45,0.3787
29:00,0.38
29:15,0.3811
29:30,0.3821
29:45,0.3829
30:00,0.3837
30:15,0.3843
30:30,0.3849
30:45,0.3853
31:00,0.3857
31:15,0.3861
31:30,0.3864
31:45,0.3866
32:00,0.3869
32:15,0.3871
32:30,0.3872
32:45,0.3874
33:00,0.3875
33:15,0.3876
33:30,0.3877
33:45,0.3878
34:00,0.3879
34:15,0.3879
34:30,0.388
34:45,0.388
35:00,0.388
35:15,0.3881
35:30,0.3881
35:45,0.3881
