Datetime,时间_小时,时间_时段,光伏出力_kW,负荷消耗_kW,实时电价_元/kWh
2026-02-14 15:57:00,0.0667,1,0,168.99,0.434
2026-02-14 15:58:00,0.0833,2,0,162.57,0.427
2026-02-14 15:59:00,0.1,3,1.46,163.92,0.407
2026-02-14 16:00:00,0.1167,4,0,153.84,0.405
2026-02-14 16:01:00,0.1333,5,0.16,163.72,0.398
2026-02-14 16:02:00,0.15,6,5.99,162.21,0.425
2026-02-14 16:03:00,0.1667,7,0,152.8,0.423
2026-02-14 16:04:00,0.1833,8,0,170.18,0.404
2026-02-14 16:05:00,0.2,9,0,157.32,0.4
2026-02-14 16:06:00,0.2167,10,0.57,159.59,0.414
2026-02-14 16:07:00,0.2333,11,0,160.17,0.413
2026-02-14 16:08:00,0.25,12,2.52,156,0.403
2026-02-14 16:09:00,0.2667,13,0,156.05,0.424
2026-02-14 16:10:00,0.2833,14,1.1,156.97,0.424
2026-02-14 16:11:00,0.3,15,0,164.33,0.394
2026-02-14 16:12:00,0.3167,16,0,161.2,0.396
2026-02-14 16:13:00,0.3333,17,0,148.33,0.426
2026-02-14 16:14:00,0.35,18,0,162.04,0.415
2026-02-14 16:15:00,0.3667,19,0,160.04,0.413
2026-02-14 16:16:00,0.3833,20,0,152.14,0.424
2026-02-14 16:17:00,0.4,21,3.68,169.53,0.433
2026-02-14 16:18:00,0.4167,22,3.61,165.71,0.43
2026-02-14 16:19:00,0.4333,23,0,164.49,0.414
2026-02-14 16:20:00,0.45,24,2.93,150.92,0.409
2026-02-14 16:21:00,0.4667,25,0,160.9,0.436
2026-02-14 16:22:00,0.4833,26,0,148.02,0.416
2026-02-14 16:23:00,0.5,27,0.03,157.98,0.422
2026-02-14 16:24:00,0.5167,28,0,159.95,0.42
2026-02-14 16:25:00,0.5333,29,0,148.42,0.421
2026-02-14 16:26:00,0.55,30,0,162.21,0.417
2026-02-14 16:27:00,0.5667,31,0,146.3,0.436
2026-02-14 16:28:00,0.5833,32,2.32,153.12,0.441
2026-02-14 16:29:00,0.6,33,5.86,151.95,0.434
2026-02-14 16:30:00,0.6167,34,0,162.77,0.42
2026-02-14 16:31:00,0.6333,35,0.26,150.63,0.412
2026-02-14 16:32:00,0.65,36,0,156.3,0.43
2026-02-14 16:33:00,0.6667,37,0.27,163.47,0.417
2026-02-14 16:34:00,0.6833,38,0,144.21,0.417
2026-02-14 16:35:00,0.7,39,4.06,156.81,0.418
2026-02-14 16:36:00,0.7167,40,0,145.85,0.418
2026-02-14 16:37:00,0.7333,41,0,157.18,0.415
2026-02-14 16:38:00,0.75,42,0.45,154.7,0.432
2026-02-14 16:39:00,0.7667,43,5.98,149,0.428
2026-02-14 16:40:00,0.7833,44,0,152.69,0.409
2026-02-14 16:41:00,0.8,45,0,162.56,0.425
2026-02-14 16:42:00,0.8167,46,0,152.38,0.408
2026-02-14 16:43:00,0.8333,47,3.38,147.16,0.425
2026-02-14 16:44:00,0.85,48,5.74,146.21,0.409
2026-02-14 16:45:00,0.8667,49,0.84,146.02,0.43
2026-02-14 16:46:00,0.8833,50,3.11,142.23,0.429
2026-02-14 16:47:00,0.9,51,3.47,134.43,0.431
2026-02-14 16:48:00,0.9167,52,0,151.31,0.424
2026-02-14 16:49:00,0.9333,53,0,145.74,0.429
2026-02-14 16:50:00,0.95,54,5.63,145.41,0.401
2026-02-14 16:51:00,0.9667,55,0,143.31,0.401
2026-02-14 16:52:00,0.9833,56,5.71,144.04,0.398
2026-02-14 16:53:00,1,57,0.76,142.17,0.424
2026-02-14 16:54:00,1.0167,58,3.05,134.9,0.41
2026-02-14 16:55:00,1.0333,59,1.92,146.54,0.41
2026-02-14 16:56:00,1.05,60,0,136.3,0.413
2026-02-14 16:57:00,1.0667,61,5.75,141.72,0.414
2026-02-14 16:58:00,1.0833,62,0,133.27,0.423
2026-02-14 16:59:00,1.1,63,5.23,135.74,0.417
2026-02-14 17:00:00,1.1167,64,0,146.33,0.409
2026-02-14 17:01:00,1.1333,65,0,149.72,0.426
2026-02-14 17:02:00,1.15,66,2.45,138.46,0.41
2026-02-14 17:03:00,1.1667,67,5,157.83,0.437
2026-02-14 17:04:00,1.1833,68,0,137.72,0.408
2026-02-14 17:05:00,1.2,69,4.12,155.52,0.436
2026-02-14 17:06:00,1.2167,70,0,143.58,0.42
2026-02-14 17:07:00,1.2333,71,0,145.35,0.442
2026-02-14 17:08:00,1.25,72,0,142.95,0.412
2026-02-14 17:09:00,1.2667,73,0,148.46,0.436
2026-02-14 17:10:00,1.2833,74,0,150.4,0.438
2026-02-14 17:11:00,1.3,75,1.37,143.66,0.429
2026-02-14 17:12:00,1.3167,76,0,151.5,0.413
2026-02-14 17:13:00,1.3333,77,4.57,150.84,0.423
2026-02-14 17:14:00,1.35,78,0,146.63,0.426
2026-02-14 17:15:00,1.3667,79,0.38,164.58,0.43
2026-02-14 17:16:00,1.3833,80,2.79,163.48,0.431
2026-02-14 17:17:00,1.4,81,0,158.07,0.407
2026-02-14 17:18:00,1.4167,82,0,164.71,0.437
2026-02-14 17:19:00,1.4333,83,4.77,145.05,0.442
2026-02-14 17:20:00,1.45,84,0,152.16,0.425
2026-02-14 17:21:00,1.4667,85,3.18,162.07,0.428
2026-02-14 17:22:00,1.4833,86,0,147,0.412
2026-02-14 17:23:00,1.5,87,4.35,159.84,0.422
2026-02-14 17:24:00,1.5167,88,4.7,152.06,0.411
2026-02-14 17:25:00,1.5333,89,4.12,153.6,0.413
2026-02-14 17:26:00,1.55,90,0,149.2,0.439
2026-02-14 17:27:00,1.5667,91,0,160.67,0.414
2026-02-14 17:28:00,1.5833,92,0.67,156.79,0.409
2026-02-14 17:29:00,1.6,93,0,157.01,0.407
2026-02-14 17:30:00,1.6167,94,1.37,143.83,0.43
2026-02-14 17:31:00,1.6333,95,4.34,162.88,0.421
2026-02-14 17:32:00,1.65,96,0.63,145.24,0.419
2026-02-14 17:33:00,1.6667,97,0,155.31,0.399
2026-02-14 17:34:00,1.6833,98,0,143.75,0.412
2026-02-14 17:35:00,1.7,99,0,160.6,0.4
2026-02-14 17:36:00,1.7167,100,2.81,146.5,0.41
